origin_city,destination_city,origin_station,destination_station,price
Preston,Manchester,Preston Bus Station,Manchester (Shudehill Interchange),5.99
Nottingham,Leeds,Nottingham (Phoenix Park P+R),Leeds City Bus Station,4.49
Northampton,Birmingham,Northampton Town Centre,Birmingham - Great Charles Street Queensway,6.99
Dundee,Sheffield,Dundee (Overgate Centre - West Marketgait),Sheffield (Meadowhall Interchange),21.49
Leeds,Middlesbrough,Leeds City Bus Station,Middlesbrough (Bus Station),5.489999999999999
Poole,Southampton,Poole Seldown Coach Station,Southampton Central Station (Stop SF),4.99
Sheffield,Birmingham,Sheffield (Meadowhall Interchange),Birmingham - Great Charles Street Queensway,5.990000000000001
London,Luton,London Heathrow Airport (Central Bus Station T2 and T3),Luton DART Parkway (For Airport),4.99
Darlington,Leeds,Darlington (Town Hall),Leeds City Bus Station,5.49
Edinburgh,Nottingham,Edinburgh Bus Station,Nottingham Broad Marsh Bus Station,23.49
Bristol,Sheffield,Bristol Bus Station (UK),Sheffield (Meadowhall Interchange),8.39
Nottingham,Bradford,Nottingham (Phoenix Park P+R),Bradford Interchange,5.99
London,Middlesbrough,London Heathrow Airport (Central Bus Station T2 and T3),Middlesbrough (Bus Station),27.99
Birmingham,Coventry,Birmingham - Great Charles Street Queensway,Coventry (Pool Meadow),4.49
Newport,Gloucester,Newport,Gloucester (Transport Hub),4.49
Nottingham,Sheffield,Nottingham (Phoenix Park P+R),Sheffield (Meadowhall Interchange),3.99
Nottingham,Leicester,University of Nottingham UN04,Leicester St Margarets bus station,3.99
Glasgow,Sheffield,Glasgow,Sheffield (Meadowhall Interchange),17.99
Nottingham,Manchester,Nottingham Broad Marsh Bus Station,Manchester (Shudehill Interchange),5.49
Sunderland,Edinburgh,Sunderland Interchange,Edinburgh Bus Station,7.49
Sheffield,Glasgow,Sheffield (Meadowhall Interchange),Glasgow,20.99
Birmingham,London,Birmingham - Great Charles Street Queensway,London Heathrow Airport (Terminal 5),9.444545454545452
Aberdeen,Edinburgh,Aberdeen Bus Station,Edinburgh Bus Station,12.54
Manchester,Coventry,Manchester (Shudehill Interchange),Coventry (Pool Meadow),14.823333333333332
Darlington,Manchester,Darlington (Town Hall),Manchester (Shudehill Interchange),6.99
Liverpool,Manchester,Liverpool (One Bus Station),Manchester (Shudehill Interchange),3.99
Manchester,London,Manchester (Shudehill Interchange),London Heathrow Airport (Terminal 5),18.906666666666663
Luton,Swindon,Luton DART Parkway (For Airport),Regent Circus Swindon (Stop C),7.99
Birmingham,Northampton,Birmingham - Great Charles Street Queensway,Northampton Town Centre,6.99
Swindon,Luton,Regent Circus Swindon (Stop C),Luton DART Parkway (For Airport),7.99
Northampton,Leeds,Northampton (Grange Park - Saxon Avenue),Leeds City Bus Station,9.49
Sheffield,Leeds,Sheffield (Meadowhall Interchange),Leeds City Bus Station,4.374615384615386
Edinburgh,Glasgow,Edinburgh Regent Road,Glasgow,4.490000000000001
Manchester,Northampton,Manchester (Shudehill Interchange),Northampton (Grange Park - Saxon Avenue),20.99
Leeds,Bristol,Leeds City Bus Station,Bristol Bus Station (UK),8.49
Leeds,Liverpool,Leeds City Bus Station,Liverpool (Wavertree Shopping Centre),5.24
Swindon,Gloucester,Regent Circus Swindon (Stop C),Gloucester (Transport Hub),3.49
Newport,Bristol,Newport,Bristol Bus Station (UK),4.2280952380952375
Sheffield,Bradford,Sheffield (Meadowhall Interchange),Bradford Interchange,4.323333333333333
London,Poole,London Heathrow Airport (Central Bus Station T2 and T3),Poole Seldown Coach Station,8.99
Northampton,Sheffield,Northampton (Grange Park - Saxon Avenue),Sheffield (Meadowhall Interchange),8.99
London,Cambridge,London Heathrow Airport (Central Bus Station T2 and T3),Cambridge (Trumpington Park and Ride),6.49
Northampton,Leicester,Northampton (Grange Park - Saxon Avenue),Leicester St Margarets bus station,7.989999999999999
Northampton,Manchester,Northampton (Grange Park - Saxon Avenue),Manchester (Shudehill Interchange),20.99
Exeter,London,Exeter (Stover Court- Bampfylde Street),London Heathrow Airport (Central Bus Station T2 and T3),14.49
Sheffield,Leicester,Sheffield (Meadowhall Interchange),Leicester St Margarets bus station,5.99
Sheffield,Manchester,Sheffield (Meadowhall Interchange),Manchester (Shudehill Interchange),3.99
Edinburgh,Leeds,Edinburgh Bus Station,Leeds Cultural Stop C,13.99
Leeds,Cardiff,Leeds City Bus Station,Cardiff North Road (Friary Gardens),13.99
Birmingham,Newport,Birmingham - Great Charles Street Queensway,Newport,6.49
Bradford,Birmingham,Bradford Interchange,Birmingham - Great Charles Street Queensway,6.99
Swansea,Cardiff,Swansea,Cardiff North Road (Friary Gardens),3.9900000000000015
Leicester,Leeds,Leicester (Fosse Park),Leeds City Bus Station,6.906666666666667
Leeds,Sunderland,Leeds City Bus Station,Sunderland Interchange,6.99
London,Cardiff,London Heathrow Airport (Central Bus Station T2 and T3),Cardiff North Road (Friary Gardens),13.882857142857144
Gloucester,Cardiff,Gloucester (Transport Hub),Cardiff North Road (Friary Gardens),4.99
Bristol,Gloucester,Bristol Bus Station (UK),Gloucester (Transport Hub),3.49
Cardiff,Swindon,Cardiff North Road (Friary Gardens),Regent Circus Swindon (Stop C),6.49
Glasgow,Middlesbrough,Glasgow,Middlesbrough (Bus Station),9.99
Edinburgh,Sheffield,Edinburgh Bus Station,Sheffield (Meadowhall Interchange),16.99
Stoke-on-Trent,Coventry,Stoke-on-Trent (Hanley Bus Station),Coventry (Pool Meadow),5.240000000000001
London,Oxford,London Heathrow Airport (Central Bus Station T2 and T3),Oxford Bus Station,25.6098
Carlisle,Sheffield,Carlisle (Halston Hotel),Sheffield (Meadowhall Interchange),10.99
Stoke-on-Trent,London,Stoke-on-Trent (Hanley Bus Station),London Heathrow Airport (Terminal 5),13.656666666666666
Nottingham,Dundee,Nottingham Broad Marsh Bus Station,Dundee (Overgate Centre - West Marketgait),22.99
Derby,London,Derby,London Heathrow Airport (Central Bus Station T2 and T3),26.99
Leicester,Sheffield,Leicester St Margarets bus station,Sheffield (Meadowhall Interchange),5.99
Leicester,Manchester,Leicester St Margarets bus station,Manchester (Shudehill Interchange),6.49
Aberdeen,Nottingham,Aberdeen Bus Station,Nottingham Broad Marsh Bus Station,34.99
Birmingham,Nottingham,Birmingham - Great Charles Street Queensway,Nottingham (Phoenix Park P+R),4.49
Liverpool,Warrington,Liverpool (One Bus Station),Warrington Interchange,3.99
Birmingham,Stoke-on-Trent,Birmingham - Great Charles Street Queensway,Stoke-on-Trent (Hanley Bus Station),4.49
Cardiff,Gloucester,Cardiff North Road (Friary Gardens),Gloucester (Transport Hub),5.49
Cardiff,Newport,Cardiff North Road (Friary Gardens),Newport,3.49
Cambridge,Swindon,Cambridge Parkside - Stop 18,Regent Circus Swindon (Stop C),8.99
Manchester,Nottingham,Manchester (Shudehill Interchange),Nottingham Broad Marsh Bus Station,5.49
Cambridge,London,Cambridge Parkside - Stop 18,London Heathrow Airport (Central Bus Station T2 and T3),6.24
Oxford,London,Oxford Bus Station,London Heathrow Airport (Central Bus Station T2 and T3),25.617450980392153
Bradford,Sheffield,Bradford Interchange,Sheffield (Meadowhall Interchange),4.49
Bradford,Leicester,Bradford Interchange,Leicester (Fosse Park),8.156666666666666
Manchester,Stoke-on-Trent,Manchester (Moss Lane East),Stoke-on-Trent (Hanley Bus Station),5.99
Sheffield,Dundee,Sheffield (Meadowhall Interchange),Dundee (Overgate Centre - West Marketgait),24.49
Bristol,Cardiff,Bristol Bus Station (UK),Cardiff North Road (Friary Gardens),5.33782608695652
Leeds,Edinburgh,Leeds Cultural Stop C,Edinburgh Bus Station,16.99
Newport,London,Newport,London Heathrow Airport (Central Bus Station T2 and T3),13.156666666666668
Leeds,Aberdeen,Leeds Cultural Stop C,Aberdeen Bus Station,17.99
Manchester,Birmingham,Manchester (Shudehill Interchange),Birmingham - Great Charles Street Queensway,7.323333333333334
London,Swindon,London Heathrow Airport (Central Bus Station T2 and T3),Regent Circus Swindon (Stop C),8.99
Sunderland,Glasgow,Sunderland Interchange,Glasgow,8.74
Gloucester,Swindon,Gloucester (Transport Hub),Regent Circus Swindon (Stop C),3.49
Edinburgh,Middlesbrough,Edinburgh Bus Station,Middlesbrough (Bus Station),9.74
Aberdeen,Glasgow,Aberdeen Bus Station,Glasgow,7.052499999999998
Birmingham,Glasgow,Birmingham - Great Charles Street Queensway,Glasgow,20.24
Glasgow,Sunderland,Glasgow,Sunderland Interchange,8.74
Chester,Coventry,Chester Bus Interchange (Stand N),Coventry (Pool Meadow),7.99
Cheltenham,London,Cheltenham Royal Well Bus Station,London Heathrow Airport (Central Bus Station T2 and T3),7.656666666666666
Edinburgh,Dundee,Edinburgh Bus Station,Dundee (Overgate Centre - West Marketgait),6.3900000000000015
Manchester,Glasgow,Manchester (Shudehill Interchange),Glasgow,16.99
Glasgow,Preston,Glasgow,Preston Bus Station,9.99
Cardiff,Bristol,Cardiff North Road (Friary Gardens),Bristol Bus Station (UK),5.035454545454544
Sunderland,Leeds,Sunderland Interchange,Leeds City Bus Station,6.615
Aberdeen,Leeds,Aberdeen Bus Station,Leeds Cultural Stop C,15.99
